name,year_period,year,recclass,continent,country,mass_cleaned,mass_bin,recclass_clean,fall,reclat,reclong
Yamato 86738,20th Century,1986.0,H5,Antarctica,Antarctica,1.75,1-10g,H5,Found,-71.5,35.66667
Yamato 86739,20th Century,1986.0,LL6,Antarctica,Antarctica,3.42,1-10g,L6,Found,-71.5,35.66667
Yamato 86740,20th Century,1986.0,L6,Antarctica,Antarctica,1.94,1-10g,L6,Found,-71.5,35.66667
Yamato 86741,20th Century,1986.0,LL6,Antarctica,Antarctica,5.89,1-10g,L6,Found,-71.5,35.66667
Yamato 86742,20th Century,1986.0,L6,Antarctica,Antarctica,66.91,10-100g,L6,Found,-71.5,35.66667
Yamato 86743,20th Century,1986.0,L4/5,Antarctica,Antarctica,13.5,10-100g,L4,Found,-71.5,35.66667
Yamato 86744,20th Century,1986.0,L6,Antarctica,Antarctica,1.58,1-10g,L6,Found,-71.5,35.66667
Yamato 86745,20th Century,1986.0,L/LL,Antarctica,Antarctica,11.8,10-100g,OTHER,Found,-71.5,35.66667
Yamato 86746,20th Century,1986.0,H4,Antarctica,Antarctica,6.37,1-10g,H4,Found,-71.5,35.66667
Yamato 86747,20th Century,1986.0,H4,Antarctica,Antarctica,3.63,1-10g,H4,Found,-71.5,35.66667
Yamato 86748,20th Century,1986.0,H5,Antarctica,Antarctica,595.24,100-1kg,H5,Found,-71.5,35.66667
Yamato 86749,20th Century,1986.0,H4,Antarctica,Antarctica,21.24,10-100g,H4,Found,-71.5,35.66667
Yamato 86750,20th Century,1986.0,H5,Antarctica,Antarctica,3.99,1-10g,H5,Found,-71.5,35.66667
Yamato 86751,20th Century,1986.0,CV3,Antarctica,Antarctica,197.26,100-1kg,CARBONACEOUS,Found,-71.5,35.66667
Yamato 86752,20th Century,1986.0,CV3,Antarctica,Antarctica,10.27,10-100g,CARBONACEOUS,Found,-71.5,35.66667
Yamato 86753,20th Century,1986.0,L4,Antarctica,Antarctica,7.51,1-10g,L4,Found,-71.5,35.66667
Yamato 86754,20th Century,1986.0,L6,Antarctica,Antarctica,136.31,100-1kg,L6,Found,-71.5,35.66667
Yamato 86755,20th Century,1986.0,L6,Antarctica,Antarctica,11.04,10-100g,L6,Found,-71.5,35.66667
Yamato 86756,20th Century,1986.0,L6,Antarctica,Antarctica,26.93,10-100g,L6,Found,-71.5,35.66667
Yamato 86758,20th Century,1986.0,L6,Antarctica,Antarctica,3.45,1-10g,L6,Found,-71.5,35.66667
Yamato 86759,20th Century,1986.0,L6,Antarctica,Antarctica,9.21,1-10g,L6,Found,-71.5,35.66667
Yamato 86760,20th Century,1986.0,EH-imp melt,Antarctica,Antarctica,7.17,1-10g,OTHER,Found,-71.5,35.66667
Yamato 86761,20th Century,1986.0,L6,Antarctica,Antarctica,5.57,1-10g,L6,Found,-71.5,35.66667
Yamato 86762,20th Century,1986.0,Eucrite-pmict,Antarctica,Antarctica,27.34,10-100g,ACHONDRITE,Found,-71.5,35.66667
